PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,1206207099,-2.71406769752502,-70.21212768554688,-39.62725067138672,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,1206215432,-2.70815277099609,-70.22008514404297,-39.64091491699219,9.32940196990967,-0.13595868647099,3.31705927848816,-1.38556361198425,-1.04930007457733,-0.72717541456223
2,1206223765,-2.69159150123596,-70.23943328857422,-39.67173385620117,9.32760524749756,-0.15448567271233,3.30977702140808,-1.43143880367279,-1.08167648315430,-0.61677801609039
3,1206232098,-2.68564939498901,-70.24835968017578,-39.68308639526367,9.34717178344727,-0.13426020741463,3.31717371940613,-1.11704957485199,-1.16999411582947,-0.63816583156586
4,1206240431,-2.65185213088989,-70.28855133056641,-39.73368835449219,9.36557292938232,-0.15916714072227,3.32309317588806,-1.17452788352966,-1.13951325416565,-0.45786723494530
5,1206248764,-2.65083289146423,-70.29553985595703,-39.73860931396484,9.34486103057861,-0.15729068219662,3.34259486198425,-0.98470079898834,-0.94960933923721,-0.36575847864151
6,1206257097,-2.62775540351868,-70.33051300048828,-39.73120880126953,9.35685539245605,-0.15040282905102,3.35952591896057,-0.78257888555527,-0.90926688909531,-0.12139866501093
7,1206265430,-2.62986898422241,-70.33659362792969,-39.72941970825195,9.33724308013916,-0.15985140204430,3.35677886009216,-0.60220348834991,-0.85486227273941,-0.08956017345190
8,1206273763,-2.62293672561646,-70.35245513916016,-39.71948242187500,9.34613323211670,-0.14877198636532,3.35868883132935,-0.57784432172775,-0.78729194402695,0.07563883811235
9,1206282096,-2.63087344169617,-70.35705566406250,-39.70952987670898,9.32265949249268,-0.14912274479866,3.35668659210205,-0.37823256850243,-0.69123846292496,0.24766398966312
10,1206290429,-2.63064908981323,-70.36083984375000,-39.68807220458984,9.32610416412354,-0.15447978675365,3.35504055023193,-0.27472543716431,-0.67686885595322,0.21597920358181
11,1206298762,-2.63693451881409,-70.36641693115234,-39.67847061157227,9.32055473327637,-0.14080370962620,3.35031294822693,-0.22047449648380,-0.80509376525879,0.22783859074116
12,1206307095,-2.63425374031067,-70.36571502685547,-39.67070388793945,9.29898929595947,-0.15847839415073,3.34203004837036,0.04262209311128,-0.85862761735916,0.13037647306919
13,1206315428,-2.63893079757690,-70.37293243408203,-39.66175842285156,9.30566310882568,-0.14211983978748,3.30255341529846,-0.10029254108667,-1.00301516056061,0.19461697340012
14,1206323761,-2.63825893402100,-70.37068939208984,-39.63843536376953,9.29831695556641,-0.14434437453747,3.30356192588806,0.00496916146949,-0.84763902425766,0.22973407804966
15,1206332094,-2.64023494720459,-70.37606048583984,-39.63092422485352,9.30710887908936,-0.16138947010040,3.30671691894531,0.06339523196220,-0.78311681747437,0.14589868485928
16,1206340427,-2.63358235359192,-70.37704467773438,-39.61902999877930,9.27714347839355,-0.16695472598076,3.30871152877808,0.19963733851910,-0.68875396251678,0.12146269530058
17,1206348760,-2.63297748565674,-70.38435363769531,-39.61173629760742,9.33574008941650,-0.16912181675434,3.31303954124451,0.34622761607170,-1.01123714447021,0.12579150497913
18,1206357093,-2.63016533851624,-70.39134979248047,-39.60373306274414,9.31961631774902,-0.14497406780720,3.32026338577271,0.30568030476570,-1.22813856601715,0.03322166204453
19,1206365426,-2.63529658317566,-70.40049743652344,-39.59101486206055,9.34562015533447,-0.17106008529663,3.34879708290100,0.27317580580711,-1.24540245532990,0.33411207795143
20,1206373759,-2.64399909973145,-70.40789031982422,-39.57308197021484,9.38071060180664,-0.15878595411777,3.36077046394348,0.28321656584740,-1.16179752349854,0.45670178532600
21,1206382092,-2.65544581413269,-70.41468048095703,-39.55363082885742,9.45104408264160,-0.15272034704685,3.36546277999878,0.27504566311836,-0.97299522161484,0.61638104915619
22,1206390425,-2.67150855064392,-70.41541290283203,-39.52828216552734,9.47323989868164,-0.14329290390015,3.36195778846741,0.33362540602684,-0.50369107723236,0.74232608079910
23,1206398758,-2.68214583396912,-70.41479492187500,-39.50681304931641,9.45821094512939,-0.17061673104763,3.36604905128479,0.60085868835449,-0.08692189306021,0.74035382270813
24,1206407091,-2.68953895568848,-70.40800476074219,-39.48072433471680,9.42510795593262,-0.17103162407875,3.34599971771240,0.54061400890350,0.50895482301712,0.58946043252945
25,1206415424,-2.69198274612427,-70.39825439453125,-39.46682739257812,9.36405181884766,-0.16196182370186,3.32646536827087,0.72805905342102,1.02057349681854,0.48620936274529
26,1206423757,-2.69368147850037,-70.39101409912109,-39.44941711425781,9.30066299438477,-0.13890780508518,3.32307481765747,0.85792315006256,0.59099715948105,0.39007917046547
27,1206432090,-2.68577599525452,-70.38707733154297,-39.44091033935547,9.28638553619385,-0.13301445543766,3.34484863281250,1.35560786724091,0.33864581584930,0.23590713739395
