sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2022.0.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,Dynamic
Measurement Mode:,Sensor fusion Mode - Orientation(Euler)
StartTime: ,2022-08-09_13:54:08_086 EDT
© Xsens Technologies B. V. 2005-2022

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z
1,873797380,123.545914,-47.077873,-132.483459
2,873814047,123.548042,-47.121395,-132.534180
3,873830714,123.542633,-47.169239,-132.557602
4,873847381,123.551949,-47.212147,-132.548233
5,873864048,123.556564,-47.233517,-132.593811
6,873880715,123.541199,-47.237423,-132.580994
7,873897382,123.525833,-47.239120,-132.558563
8,873914049,123.510979,-47.247463,-132.545837
9,873930716,123.496185,-47.247864,-132.540070
10,873947383,123.494675,-47.237228,-132.533081
11,873964050,123.494797,-47.239044,-132.526047
12,873980717,123.490501,-47.250927,-132.520126
13,873997384,123.483208,-47.247547,-132.509598
14,874014051,123.482841,-47.248428,-132.507339
15,874030718,123.486572,-47.250061,-132.526306
16,874047385,123.477463,-47.244171,-132.508530
17,874064052,123.453011,-47.235035,-132.476929
18,874080719,123.430946,-47.229919,-132.473297
19,874097386,123.428360,-47.238827,-132.487427
20,874114053,123.425743,-47.239674,-132.492615
21,874130720,123.382271,-47.218403,-132.449493
22,874147387,123.296814,-47.212219,-132.369553
23,874164054,123.241737,-47.176514,-132.316605
24,874180721,123.167122,-47.103123,-132.260925
25,874197388,123.102890,-47.012737,-132.196182
26,874214055,123.077438,-46.930580,-132.150513
27,874230722,123.063492,-46.846615,-132.129974
28,874247389,123.060432,-46.750595,-132.119095
29,874264056,123.032143,-46.640118,-132.072739
30,874280723,123.010544,-46.557205,-132.041122
31,874297390,123.035774,-46.488426,-132.052948
32,874314057,122.995331,-46.449039,-132.000305
33,874330724,123.009827,-46.497482,-132.017365
34,874347391,123.040970,-46.550594,-132.061615
35,874364058,123.036583,-46.593269,-132.056259
36,874380725,123.020737,-46.609642,-132.037369
37,874397392,122.987259,-46.680267,-132.052460
38,874414059,123.007339,-46.752132,-132.084961
39,874430726,123.056992,-46.853580,-132.150192
40,874447393,123.100449,-46.941452,-132.211365
41,874464060,123.141647,-47.043633,-132.267136
42,874480727,123.146713,-47.085861,-132.278336
43,874497394,123.149734,-47.129242,-132.284912
44,874514061,123.189484,-47.159981,-132.318649
45,874530728,123.235847,-47.173595,-132.356339
46,874547395,123.285240,-47.218090,-132.412277
47,874564062,123.319801,-47.243782,-132.443329
48,874580729,123.332916,-47.269016,-132.467148
49,874597396,123.340271,-47.302273,-132.487457
50,874614063,123.356194,-47.310822,-132.495850
51,874630730,123.363930,-47.306538,-132.481155
52,874647397,123.324738,-47.345608,-132.440826
53,874664064,123.330009,-47.356750,-132.423798
54,874680731,123.337997,-47.400707,-132.420120
55,874697398,123.327507,-47.435444,-132.399704
56,874714065,123.299149,-47.494453,-132.355362
57,874730732,123.281067,-47.530918,-132.303528
58,874747399,123.316742,-47.555126,-132.300980
59,874764066,123.307335,-47.684685,-132.298523
60,874780733,123.174911,-47.899231,-132.205643
61,874797400,122.777641,-48.149807,-131.909592
62,874814067,121.887337,-48.420158,-131.174744
63,874830734,121.541565,-49.665768,-131.544846
64,874847401,122.039253,-52.155094,-132.981812
65,874864068,121.681717,-53.528934,-133.531326
66,874880735,123.570374,-55.800037,-136.111084
67,874897402,125.684456,-57.742367,-138.719559
68,874914069,127.186783,-59.394070,-140.654495
69,874930736,128.369980,-61.327682,-142.830765
70,874947403,129.043533,-63.408916,-144.750580
71,874964070,129.830292,-65.572296,-146.875381
72,874980737,130.441559,-67.634895,-148.545120
73,874997404,130.687454,-69.434998,-149.889832
74,875014071,130.030212,-70.923790,-150.556641
75,875030738,126.379959,-71.291306,-148.392502
76,875047405,120.613373,-70.712021,-144.814682
77,875064072,114.099625,-70.996071,-140.941879
78,875080739,107.833336,-70.174683,-137.180847
79,875097406,101.944000,-70.052788,-134.432785
80,875114073,93.569176,-68.566261,-130.704605
81,875130740,83.535248,-65.693184,-126.782806
82,875147407,72.543457,-61.226597,-122.808868
83,875164074,61.923447,-55.585064,-120.089630
84,875180741,53.768551,-50.186829,-119.994202
85,875197408,46.201393,-46.349720,-121.106293
86,875214075,39.097675,-45.126076,-122.599243
87,875230742,33.227818,-45.917976,-124.457451
88,875247409,29.268204,-47.821884,-125.744835
89,875264076,25.948833,-50.983734,-125.075737
90,875280743,21.802202,-54.449516,-121.826591
91,875297410,18.715586,-56.151264,-118.732498
92,875314077,16.213121,-56.947670,-115.589973
93,875330744,15.278491,-57.361206,-113.050201
94,875347411,16.720928,-57.329754,-111.638702
95,875364078,22.301003,-56.087925,-112.184769
96,875380745,32.097023,-53.972912,-114.669479
97,875397412,43.084785,-52.161800,-116.637840
98,875414079,53.248375,-52.686203,-117.223625
99,875430746,65.070229,-56.123619,-118.539818
100,875447413,79.802750,-61.289036,-121.160797
101,875464080,96.927200,-66.272499,-125.960670
102,875480747,116.980637,-71.292213,-133.670654
103,875497414,136.814133,-75.544472,-140.335541
104,875514081,153.588440,-80.655762,-143.867325
105,875530748,-150.329987,-85.642708,171.456161
106,875547415,-80.504814,-80.741333,111.453659
107,875564082,-66.477356,-74.139030,105.665474
108,875580749,-62.685242,-70.659981,107.657143
109,875597416,-62.589149,-70.442253,111.394241
110,875614083,-65.241234,-71.491707,117.083649
111,875630750,-67.891541,-72.336311,121.731949
112,875647417,-68.899010,-72.778931,122.972595
113,875664084,-69.660225,-72.888618,122.191101
114,875680751,-72.032143,-74.071724,120.798264
115,875697418,-75.507324,-75.518028,118.901093
116,875714085,-80.605484,-77.733345,116.579254
117,875730752,-88.264900,-81.740585,115.050819
118,875747419,-119.685295,-88.229225,136.609177
119,875764086,94.959831,-82.245209,-88.501381
120,875780753,85.269295,-71.624046,-90.089722
121,875797420,77.710785,-60.578888,-94.454552
122,875814087,69.542992,-49.955460,-99.333092
123,875830754,59.681530,-41.341370,-103.510208
124,875847421,50.689533,-34.039158,-107.753494
125,875864088,43.867966,-29.592909,-111.948250
126,875880755,39.174561,-29.087307,-115.110451
127,875897422,37.186943,-31.389883,-116.832123
128,875914089,37.812313,-34.335697,-117.770317
129,875930756,39.768536,-36.314899,-117.757614
130,875947423,41.675861,-37.789070,-116.054466
131,875964090,44.383163,-40.053989,-112.949554
132,875980757,50.623383,-42.742271,-110.141357
133,875997424,61.663830,-47.170723,-106.904190
134,876014091,76.234123,-55.426666,-102.441147
135,876030758,92.394661,-66.882980,-98.169136
136,876047425,108.918381,-79.669182,-97.270454
137,876064092,-95.486351,-85.920235,118.890221
138,876080759,-71.566101,-74.093872,104.514153
139,876097426,-62.780277,-67.357315,103.595802
140,876114093,-58.712681,-65.217026,103.752518
141,876130760,-57.583317,-66.668388,103.854774
142,876147427,-56.026649,-69.118118,103.159233
143,876164094,-54.995228,-69.926498,102.813354
144,876180761,-55.869858,-70.168671,102.777199
145,876197428,-57.567364,-72.176491,100.755272
146,876214095,-60.526440,-75.594994,97.511536
147,876230762,-65.637733,-79.982841,94.064598
148,876247429,-71.196503,-85.030838,89.736252
149,876264096,69.742554,-88.996727,-61.561405
150,876280763,86.157211,-80.958412,-88.192551
151,876297430,81.950302,-71.693245,-94.515862
152,876314097,76.477966,-61.989937,-100.301102
153,876330764,70.424797,-52.902500,-105.860405
154,876347431,63.888817,-46.178318,-111.563065
155,876364098,57.549480,-42.313885,-117.034599
156,876380765,52.414982,-41.036991,-121.346931
157,876397432,50.098621,-41.014194,-124.185944
158,876414099,49.910812,-42.602463,-124.226311
159,876430766,50.531429,-44.975910,-121.728111
160,876447433,52.951206,-47.741261,-117.605438
161,876464100,59.397469,-51.103813,-112.603523
162,876480767,71.488358,-55.759811,-106.039093
163,876497434,84.561600,-63.911572,-95.542023
164,876514101,89.176422,-79.895676,-82.775604
165,876530768,-68.830345,-82.128769,86.281990
166,876547435,-68.796577,-67.977234,94.690491
167,876564102,-64.593323,-58.658089,97.201492
168,876580769,-60.052738,-54.214764,97.267670
169,876597436,-56.545063,-53.505016,95.954178
170,876614103,-55.714451,-53.748062,95.604858
171,876630770,-56.364410,-54.191700,95.099091
172,876647437,-57.240997,-56.677090,92.543228
173,876664104,-57.495365,-62.100636,86.864555
174,876680771,-53.490616,-71.320801,73.789009
175,876697438,-21.126980,-81.203064,31.468065
176,876714105,50.876133,-78.817780,-51.249863
177,876730772,67.420944,-67.075081,-79.796463
178,876747439,67.754051,-54.119366,-92.642715
179,876764106,63.869354,-43.621326,-100.757988
180,876780773,58.755398,-36.411057,-106.365143
181,876797440,54.487587,-33.422550,-109.063972
182,876814107,51.791309,-33.488529,-109.613556
183,876830774,50.775223,-34.730961,-109.722801
184,876847441,52.932487,-35.695717,-110.893845
185,876864108,59.811108,-35.970837,-113.807968
186,876880775,71.490692,-37.937653,-118.752266
187,876897442,87.689697,-42.072033,-125.858055
188,876914109,108.825912,-44.601749,-136.486221
189,876930776,131.025925,-43.427902,-147.322998
190,876947443,147.668610,-40.056229,-155.129593
191,876964110,159.249161,-35.618370,-160.919235
192,876980777,166.849823,-30.786818,-164.076828
193,876997444,171.038055,-27.086720,-163.514511
194,877014111,173.658463,-24.592531,-161.226257
195,877030778,176.233643,-22.950386,-159.472610
196,877047445,177.564789,-21.885151,-157.869934
197,877064112,176.744034,-20.875818,-155.442810
198,877080779,175.892517,-19.287521,-153.522812
199,877097446,174.472763,-17.671791,-151.468460
200,877114113,173.113297,-16.010855,-148.923172
201,877130780,172.193619,-14.874804,-147.476974
202,877147447,172.209396,-14.054550,-147.390854
203,877164114,172.435425,-12.427568,-147.868988
204,877180781,171.707138,-8.705976,-147.710068
205,877197448,172.232178,-5.416547,-148.526123
206,877214115,173.180832,-2.966561,-149.339661
207,877230782,174.782684,-1.453390,-149.989807
208,877247449,176.865845,-0.173384,-150.582596
209,877264116,178.342133,0.514803,-150.041534
210,877280783,179.385147,0.631074,-148.130157
211,877297450,-178.234711,1.111978,-145.218079
212,877314117,-177.484741,0.467458,-142.255676
213,877330784,-179.514084,0.188049,-140.343689
214,877347451,-179.644073,0.048286,-139.165619
215,877364118,-179.649658,0.020507,-138.304840
216,877380785,-179.659409,0.012858,-137.577942
217,877397452,-179.639832,0.021707,-137.009995
218,877414119,-179.656250,0.012754,-136.724625
219,877430786,-179.660599,0.010876,-136.724899
220,877447453,-179.664062,0.009742,-136.726212
221,877464120,-179.669159,0.008268,-136.726669
222,877480787,-179.673859,0.006390,-136.727631
223,877497454,-179.678787,0.004759,-136.728882
224,877514121,-179.683914,0.003096,-136.728210
225,877530788,-179.686829,0.002033,-136.727844
226,877547455,-179.691727,0.001143,-136.727295
227,877564122,-179.697037,-0.001281,-136.727554
228,877580789,-179.700668,-0.003595,-136.727615
229,877597456,-179.705750,-0.005564,-136.727997
230,877614123,-179.709854,-0.007441,-136.728973
231,877630790,-179.712860,-0.009588,-136.728088
232,877647457,-179.717026,-0.011752,-136.728134
233,877664124,-179.719849,-0.014388,-136.727646
234,877680791,-179.722549,-0.016181,-136.728012
235,877697458,-179.727234,-0.017998,-136.726913
236,877714125,-179.729996,-0.019850,-136.726974
237,877730792,-179.734497,-0.022350,-136.727600
238,877747459,-179.738495,-0.025251,-136.727631
239,877764126,-179.742355,-0.026939,-136.727295
240,877780793,-179.745453,-0.031052,-136.727432
241,877797460,-179.748459,-0.033628,-136.728378
242,877814127,-179.750992,-0.037375,-136.730164
243,877830794,-179.753845,-0.040992,-136.730347
244,877847461,-179.756210,-0.043549,-136.730164
245,877864128,-179.759933,-0.046496,-136.730362
246,877880795,-179.763382,-0.049414,-136.730087
247,877897462,-179.766586,-0.052504,-136.729813
248,877914129,-179.770096,-0.054040,-136.729706
249,877930796,-179.772888,-0.057555,-136.729523
250,877947463,-179.776291,-0.060656,-136.730698
251,877964130,-179.779587,-0.063751,-136.730820
252,877980797,-179.781662,-0.067480,-136.730057
253,877997464,-179.784546,-0.069415,-136.730484
254,878014131,-179.787704,-0.072620,-136.730164
255,878030798,-179.789444,-0.076534,-136.730469
256,878047465,-179.791275,-0.079776,-136.730774
257,878064132,-179.794174,-0.082232,-136.732147
258,878080799,-179.795776,-0.086171,-136.732513
259,878097466,-179.798676,-0.088814,-136.733063
260,878114133,-179.801422,-0.090647,-136.733612
261,878130800,-179.804031,-0.093443,-136.733749
262,878147467,-179.806885,-0.096795,-136.734344
263,878164134,-179.810028,-0.099597,-136.734360
264,878180801,-179.813843,-0.102303,-136.734787
265,878197468,-179.816162,-0.104965,-136.734772
266,878214135,-179.817978,-0.107585,-136.734985
267,878230802,-179.819290,-0.112973,-136.734802
268,878247469,-179.823318,-0.115325,-136.735794
269,878264136,-179.826950,-0.118131,-136.736816
270,878280803,-179.829025,-0.120408,-136.737335
271,878297470,-179.831100,-0.122950,-136.737808
272,878314137,-179.834015,-0.126113,-136.738068
273,878330804,-179.837906,-0.127881,-136.739029
274,878347471,-179.842377,-0.130714,-136.738953
275,878364138,-179.845581,-0.132897,-136.739563
276,878380805,-179.847565,-0.136147,-136.739014
277,878397472,-179.850815,-0.139276,-136.739975
278,878414139,-179.853653,-0.143318,-136.740936
279,878430806,-179.856415,-0.147500,-136.740479
280,878447473,-179.859131,-0.151680,-136.739899
281,878464140,-179.861755,-0.154670,-136.740341
282,878480807,-179.864426,-0.156838,-136.741119
283,878497474,-179.866547,-0.160874,-136.741318
284,878514141,-179.868896,-0.164433,-136.741180
285,878530808,-179.871582,-0.168025,-136.741730
286,878547475,-179.872955,-0.172231,-136.742050
287,878564142,-179.876633,-0.175344,-136.741837
288,878580809,-179.878906,-0.178671,-136.743942
289,878597476,-179.881470,-0.182195,-136.745270
290,878614143,-179.883286,-0.186254,-136.746719
291,878630810,-179.885345,-0.190279,-136.747849
292,878647477,-179.888000,-0.193878,-136.748581
293,878664144,-179.890915,-0.196482,-136.749725
294,878680811,-179.892838,-0.200850,-136.750641
295,878697478,-179.896576,-0.203279,-136.751175
296,878714145,-179.899231,-0.207179,-136.751801
297,878730812,-179.901688,-0.211364,-136.752701
298,878747479,-179.904800,-0.214994,-136.753967
299,878764146,-179.906967,-0.218421,-136.754593
300,878780813,-179.909256,-0.222276,-136.756332
301,878797480,-179.911621,-0.227316,-136.756119
302,878814147,-179.913696,-0.231112,-136.756699
303,878830814,-179.914627,-0.234750,-136.757080
304,878847481,-179.916046,-0.238318,-136.757645
305,878864148,-179.918900,-0.241487,-136.758896
306,878880815,-179.920273,-0.245474,-136.759399
307,878897482,-179.921234,-0.249318,-136.760681
308,878914149,-179.925125,-0.252895,-136.761765
309,878930816,-179.927322,-0.254712,-136.763138
310,878947483,-179.929962,-0.258362,-136.762924
311,878964150,-179.930511,-0.261255,-136.762711
312,878980817,-179.931946,-0.264419,-136.763412
313,878997484,-179.934814,-0.267458,-136.763687
314,879014151,-179.937759,-0.271172,-136.763290
315,879030818,-179.939789,-0.275621,-136.764053
316,879047485,-179.943298,-0.278196,-136.766144
317,879064152,-179.945389,-0.282893,-136.766266
318,879080819,-179.948547,-0.285173,-136.766312
319,879097486,-179.952118,-0.288590,-136.767059
320,879114153,-179.954086,-0.293495,-136.767410
321,879130820,-179.957108,-0.296913,-136.768234
322,879147487,-179.959137,-0.300188,-136.769424
323,879164154,-179.961685,-0.304211,-136.771088
324,879180821,-179.961624,-0.308724,-136.771759
325,879197488,-179.963547,-0.311986,-136.771469
326,879214155,-179.963791,-0.317412,-136.771805
327,879230822,-179.967896,-0.320695,-136.772339
328,879247489,-179.968597,-0.323673,-136.772934
329,879264156,-179.970078,-0.327738,-136.773010
330,879280823,-179.971832,-0.330544,-136.773590
331,879297490,-179.975281,-0.332960,-136.774109
332,879314157,-179.978653,-0.335522,-136.774277
333,879330824,-179.982666,-0.339133,-136.774063
334,879347491,-179.985138,-0.342002,-136.774841
335,879364158,-179.987030,-0.345111,-136.775940
336,879380825,-179.988388,-0.350795,-136.777512
337,879397492,-179.990860,-0.353239,-136.778229
338,879414159,-179.991913,-0.357734,-136.778931
339,879430826,-179.992752,-0.361999,-136.779037
340,879447493,-179.994904,-0.365274,-136.778839
341,879464160,-179.995865,-0.369153,-136.779312
342,879480827,-179.997009,-0.372906,-136.780273
343,879497494,-179.997101,-0.376088,-136.780197
344,879514161,-179.999863,-0.379433,-136.780487
345,879530828,-179.999084,-0.383803,-136.779861
346,879547495,179.997940,-0.387126,-136.779373
347,879564162,179.996765,-0.391123,-136.779907
348,879580829,179.995316,-0.394763,-136.781372
349,879597496,179.993500,-0.399239,-136.781784
350,879614163,179.992218,-0.402835,-136.782455
351,879630830,179.989868,-0.405504,-136.783783
352,879647497,179.988174,-0.409512,-136.784225
353,879664164,179.987167,-0.413051,-136.784164
354,879680831,179.985504,-0.415722,-136.784515
355,879697498,179.983261,-0.418187,-136.785187
356,879714165,179.983093,-0.420855,-136.785492
357,879730832,179.981354,-0.425138,-136.785080
358,879747499,179.981659,-0.428733,-136.784531
359,879764166,-179.667160,-0.265097,-136.415466
360,879780833,-179.665634,-0.267564,-136.415054
361,879797500,-179.666336,-0.268731,-136.414764
362,879814167,-179.667007,-0.269688,-136.414474
363,879830834,-179.666168,-0.271612,-136.414169
364,879847501,-179.667465,-0.273932,-136.413681
365,879864168,-179.669037,-0.275646,-136.413116
366,879880835,-179.671127,-0.276234,-136.412827
367,879897502,-179.672684,-0.278810,-136.412537
368,879914169,-179.672653,-0.280434,-136.412766
369,879930836,-179.672318,-0.281068,-136.412430
370,879947503,-179.673477,-0.283036,-136.412155
371,879964170,-179.674835,-0.284336,-136.412506
372,879980837,-179.674637,-0.287399,-136.412186
373,879997504,-179.674240,-0.290087,-136.411835
374,880014171,-179.674210,-0.291424,-136.411194
375,880030838,-179.674301,-0.293389,-136.411026
376,880047505,-179.675293,-0.295081,-136.410721
377,880064172,-179.674774,-0.296000,-136.410065
378,880080839,-179.676163,-0.298390,-136.410629
379,880097506,-179.676590,-0.299567,-136.409897
380,880114173,-179.677750,-0.301001,-136.410141
381,880130840,-179.677994,-0.301803,-136.410645
382,880147507,-179.678940,-0.302821,-136.410492
383,880164174,-179.679214,-0.303668,-136.410202
384,880180841,-179.679657,-0.305160,-136.409988
385,880197508,-179.678940,-0.306157,-136.409882
386,880214175,-179.680847,-0.306553,-136.410049
387,880230842,-179.681030,-0.308567,-136.410095
388,880247509,-179.683670,-0.310769,-136.410339
389,880264176,-179.684464,-0.311731,-136.410568
390,880280843,-179.685059,-0.313100,-136.410339
391,880297510,-179.685867,-0.313989,-136.410370
392,880314177,-179.688278,-0.315690,-136.410690
393,880330844,-179.689438,-0.317683,-136.410706
394,880347511,-179.690063,-0.319532,-136.411743
395,880364178,-179.690155,-0.320764,-136.411469
396,880380845,-179.691910,-0.322639,-136.410934
397,880397512,-179.692352,-0.323962,-136.410843
398,880414179,-179.692337,-0.325311,-136.410843
399,880430846,-179.691071,-0.328190,-136.410812
400,880447513,-179.691605,-0.329695,-136.410416
401,880464180,-179.692337,-0.330586,-136.410477
402,880480847,-179.692566,-0.331996,-136.410278
403,880497514,-179.693939,-0.333563,-136.409897
404,880514181,-179.696304,-0.335338,-136.410233
405,880530848,-179.695801,-0.336505,-136.410324
406,880547515,-179.695007,-0.337988,-136.411011
407,880564182,-179.695480,-0.338230,-136.409912
408,880580849,-179.696716,-0.338366,-136.410355
409,880597516,-179.697495,-0.340423,-136.408707
410,880614183,-179.697311,-0.341940,-136.409210
411,880630850,-179.697464,-0.342974,-136.409485
412,880647517,-179.697235,-0.344355,-136.409851
413,880664184,-179.696579,-0.345981,-136.409714
414,880680851,-179.696136,-0.347720,-136.410538
415,880697518,-179.698090,-0.348927,-136.410522
416,880714185,-179.699722,-0.351176,-136.411850
417,880730852,-179.700272,-0.352274,-136.411591
418,880747519,-179.699860,-0.353187,-136.410599
419,880764186,-179.701035,-0.354868,-136.410110
420,880780853,-179.702164,-0.356272,-136.410492
421,880797520,-179.702423,-0.358112,-136.410187
422,880814187,-179.703125,-0.359546,-136.409912
423,880830854,-179.703598,-0.361021,-136.410019
424,880847521,-179.702606,-0.362206,-136.409698
425,880864188,-179.701385,-0.363164,-136.408936
426,880880855,-179.703308,-0.362586,-136.409088
427,880897522,-179.704788,-0.363901,-136.408798
428,880914189,-179.705704,-0.365953,-136.408829
429,880930856,-179.706726,-0.366910,-136.408737
430,880947523,-179.706955,-0.368131,-136.408432
431,880964190,-179.707077,-0.369762,-136.408325
432,880980857,-179.707016,-0.370787,-136.407623
433,880997524,-179.706726,-0.373411,-136.407486
434,881014191,-179.706146,-0.374740,-136.407806
435,881030858,-179.705460,-0.376037,-136.407761
436,881047525,-179.706329,-0.377812,-136.407928
437,881064192,-179.705643,-0.379369,-136.408020
438,881080859,-179.706757,-0.380310,-136.407288
439,881097526,-179.706879,-0.380990,-136.406387
440,881114193,-179.706497,-0.381247,-136.406738
441,881130860,-179.706894,-0.382057,-136.406723
442,881147527,-179.708069,-0.384132,-136.406738
443,881164194,-179.708923,-0.386006,-136.406540
444,881180861,-179.708984,-0.387437,-136.406387
445,881197528,-179.708405,-0.389026,-136.406738
446,881214195,-179.710312,-0.390684,-136.406113
447,881230862,-179.710037,-0.392240,-136.406036
448,881247529,-179.710815,-0.392900,-136.406479
449,881264196,-179.710602,-0.394264,-136.407211
450,881280863,-179.711899,-0.395933,-136.407425
451,881297530,-179.712067,-0.397486,-136.407043
452,881314197,-179.712021,-0.398510,-136.406891
453,881330864,-179.712494,-0.399063,-136.406433
454,881347531,-179.713013,-0.399396,-136.406235
455,881364198,-179.713150,-0.399988,-136.405136
456,881380865,-179.714401,-0.399676,-136.404587
457,881397532,-179.715866,-0.400568,-136.404541
458,881414199,-179.716522,-0.401023,-136.405319
459,881430866,-179.718399,-0.402164,-136.405350
460,881447533,-179.718735,-0.401279,-136.405960
461,881464200,-179.719482,-0.402757,-136.406113
462,881480867,-179.720245,-0.404329,-136.407410
463,881497534,-179.718536,-0.405934,-136.406311
464,881514201,-179.718033,-0.407895,-136.405853
465,881530868,-179.718781,-0.408823,-136.405594
466,881547535,-179.719391,-0.409583,-136.405685
467,881564202,-179.718643,-0.410681,-136.406219
468,881580869,-179.719238,-0.411836,-136.406204
469,881597536,-179.720291,-0.413648,-136.406006
470,881614203,-179.721115,-0.415019,-136.405197
471,881630870,-179.724396,-0.414808,-136.405319
472,881647537,-179.723831,-0.416368,-136.404297
473,881664204,-179.722763,-0.417161,-136.404190
474,881680871,-179.723236,-0.418058,-136.404404
475,881697538,-179.722839,-0.418672,-136.404968
476,881714205,-179.723877,-0.419898,-136.403946
477,881730872,-179.726074,-0.421413,-136.404480
478,881747539,-179.725861,-0.421482,-136.403366
479,881764206,-179.714813,-0.434938,-136.414200
480,881780873,-179.714874,-0.435328,-136.414139
481,881797540,-179.714340,-0.437318,-136.414001
482,881814207,-179.713608,-0.438770,-136.413681
483,881830874,-179.714676,-0.439919,-136.413406
484,881847541,-179.714722,-0.441655,-136.414093
485,881864208,-179.715271,-0.442575,-136.413147
486,881880875,-179.715195,-0.442845,-136.413010
487,881897542,-179.715500,-0.444474,-136.411713
488,881914209,-179.715088,-0.443871,-136.411301
489,881930876,-179.715286,-0.445256,-136.410629
490,881947543,-179.715424,-0.446870,-136.411453
491,881964210,-179.715378,-0.447462,-136.413452
492,881980877,-179.714981,-0.448281,-136.414307
493,881997544,-179.715149,-0.449242,-136.414490
494,882014211,-179.714508,-0.449568,-136.415298
495,882030878,-179.714203,-0.451068,-136.416046
496,882047545,-179.714432,-0.451893,-136.415848
497,882064212,-179.713074,-0.452900,-136.415680
498,882080879,-179.713623,-0.453613,-136.416046
499,882097546,-179.715073,-0.455107,-136.416122
500,882114213,-179.716309,-0.454891,-136.416763
501,882130880,-179.716583,-0.454911,-136.418137
502,882147547,-179.716782,-0.455590,-136.415894
503,882164214,-179.716202,-0.456468,-136.414642
504,882180881,-179.716644,-0.457474,-136.415237
