sep=,
DeviceTag:,Xsens DOT
FirmwareVersion:,2.1.0
AppVersion:,2022.0.0
StartTime: ,2022-08-15_19:19:05_000 EDT
© Xsens Technologies B. V. 2005-2022

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,661453750,125.10774230957031,42.20441818237305,-106.70210266113281,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000,0.00000000000000
1,661462083,125.04606628417969,42.49258422851562,-106.83813476562500,-8.48877525329590,8.44484615325928,-7.36432600021362,2.59432840347290,-29.48750495910645,-24.03768348693848
2,661470416,126.27727508544922,42.10619735717773,-105.80390167236328,-8.82045841217041,8.71007919311523,-7.44913244247437,2.68455433845520,-27.50115013122559,-27.01164054870605
3,661478749,126.25199127197266,42.41635894775391,-105.88937377929688,-8.91659164428711,8.44177532196045,-7.20126247406006,2.86294555664062,-27.88274574279785,-28.18520164489746
4,661487082,127.89500427246094,41.40925216674805,-104.51924133300781,-8.70465755462646,8.60598850250244,-6.11160993576050,5.64368486404419,-34.87578964233398,-26.94276428222656
5,661495415,127.82460021972656,41.79706573486328,-104.63968658447266,-7.57707357406616,7.61095666885376,-6.99433994293213,0.14504089951515,-36.84891891479492,-32.78254699707031
6,661503748,128.49415588378906,41.34219360351562,-103.96533966064453,-7.58717203140259,7.36446571350098,-6.31929349899292,6.62431907653809,-39.22813796997070,-36.09170913696289
7,661512081,129.33200073242188,40.91316604614258,-103.56204986572266,-7.63854265213013,7.50772905349731,-7.06896305084229,22.35156631469727,-26.19999694824219,-34.14849853515625
8,661520414,129.53906250000000,41.19881057739258,-103.57431793212891,-8.78281974792480,8.81498813629150,-4.10917282104492,24.80877304077148,-22.41628265380859,-28.50495147705078
9,661528747,129.60615539550781,41.12823486328125,-103.74096679687500,-8.96074676513672,5.58760166168213,-5.06755113601685,24.30069351196289,-39.99802398681641,-31.63049697875977
10,661537080,129.78765869140625,41.43958282470703,-103.98359680175781,-9.63657188415527,7.82733011245728,-5.02228879928589,40.00837326049805,-40.48540496826172,-17.50054740905762
11,661545413,129.72517395019531,41.86029052734375,-104.36730957031250,-10.84288406372070,7.27621746063232,-2.94475817680359,33.11669921875000,-43.70619964599609,-15.78748035430908
12,661553746,129.77842712402344,42.17778396606445,-104.68528747558594,-10.72868919372559,6.68355560302734,-4.44284248352051,30.94419288635254,-45.93979644775391,-13.87422084808350
13,661562079,129.36575317382812,43.06029129028320,-105.33226776123047,-10.89090728759766,7.61710453033447,-2.87631058692932,36.48967742919922,-44.31419754028320,-12.90641212463379
14,661570412,129.42408752441406,43.38465118408203,-105.59424591064453,-10.39744567871094,6.73404455184937,-2.99486160278320,27.54535293579102,-42.18421936035156,-18.22890472412109
15,661578745,128.75814819335938,44.41765975952148,-106.29698181152344,-9.75168418884277,7.15301227569580,-3.46790909767151,29.16042137145996,-33.46163177490234,-20.32972526550293
16,661587078,128.90980529785156,44.63796997070312,-106.35039520263672,-9.49378967285156,7.40311622619629,-3.19457316398621,21.72062492370605,-19.91093826293945,-20.39725112915039
17,661595411,128.21893310546875,45.48594665527344,-106.96519470214844,-9.39054393768311,6.98580837249756,-2.79852843284607,22.10650253295898,-17.00343894958496,-20.14026069641113
18,661603744,128.43106079101562,45.68222045898438,-106.98718261718750,-9.60133171081543,7.34987878799438,-1.92772054672241,26.37263870239258,-15.82290363311768,-19.99082946777344
19,661612077,127.67197418212891,46.48549652099609,-107.68751525878906,-10.06718635559082,7.25653743743896,-0.84220939874649,26.15520477294922,-18.70597076416016,-21.49835968017578
20,661620410,127.86835479736328,46.73307418823242,-107.72692871093750,-10.27635478973389,7.46822595596313,-0.31667312979698,26.04405593872070,-20.53093147277832,-24.14766693115234
21,661628743,126.87964630126953,47.59449005126953,-108.55540466308594,-10.26458454132080,6.98079824447632,-0.42883270978928,20.71481132507324,-19.69504356384277,-27.38534355163574
22,661637076,127.04713439941406,47.84397506713867,-108.51451873779297,-10.21150970458984,7.71442604064941,-0.55965286493301,15.53375911712646,-15.12483978271484,-28.53964614868164
23,661645409,125.89965057373047,48.66828155517578,-109.38816833496094,-10.58708477020264,6.71026659011841,-0.39783775806427,10.23659801483154,-15.08036994934082,-28.28159713745117
24,661653742,126.03343963623047,48.91284942626953,-109.30392456054688,-10.41640663146973,6.57473182678223,-0.53249311447144,7.52504587173462,-11.59857082366943,-30.28593635559082
25,661662075,124.87828826904297,49.73534011840820,-110.12144470214844,-10.80095863342285,5.46938514709473,-0.15052597224712,3.15271878242493,-9.96704578399658,-32.58266830444336
26,661670408,125.03800964355469,49.98399353027344,-109.90808868408203,-10.55036926269531,5.51325941085815,-0.62817144393921,-1.32062029838562,-3.31648349761963,-36.52217483520508
27,661678741,123.97071075439453,50.82377243041992,-110.55281829833984,-10.81705951690674,5.08951997756958,-0.56766855716705,-7.12133073806763,-0.71438199281693,-38.93256759643555
28,661687074,124.15968322753906,51.08653640747070,-110.21508026123047,-10.06182670593262,4.35731554031372,-1.82747268676758,-9.70478916168213,3.74717712402344,-43.02071762084961
29,661695407,123.30070495605469,51.91067504882812,-110.65303802490234,-9.89173221588135,4.76958990097046,-1.75543999671936,-9.95655345916748,7.48517179489136,-42.67597961425781
30,661703740,123.55229187011719,52.16097259521484,-110.21485137939453,-9.15454387664795,3.83116292953491,-2.34843158721924,-12.16442966461182,10.72043704986572,-45.47043228149414
31,661712073,122.99411010742188,52.92337799072266,-110.39459991455078,-8.92122936248779,4.18503618240356,-2.37033534049988,-8.06258296966553,17.22385215759277,-45.80800628662109
32,661720406,123.39080810546875,53.14099502563477,-109.83628845214844,-9.11002731323242,4.00720500946045,-1.83663773536682,-6.81755065917969,19.69809532165527,-46.48127746582031
33,661728739,123.10924530029297,53.84224700927734,-109.77745819091797,-9.04771804809570,4.41336154937744,-1.51301038265228,-5.92520332336426,25.67906951904297,-48.98328399658203
34,661737072,123.55451965332031,54.05867004394531,-109.13035583496094,-9.62051010131836,4.48500537872314,-1.03081715106964,-10.23826694488525,24.19433593750000,-49.37174606323242
35,661745405,123.34495544433594,54.75611877441406,-108.94495391845703,-8.88720130920410,3.55154538154602,-1.67563605308533,-14.20232200622559,27.33418464660645,-54.20595550537109
36,661753738,123.85929107666016,54.97465896606445,-108.15115356445312,-9.08343410491943,3.64505004882812,-1.40783405303955,-17.06403541564941,31.43832588195801,-54.73519134521484
37,661762071,123.74932861328125,55.65357589721680,-107.81212615966797,-9.06509590148926,2.75266885757446,-1.55725741386414,-22.63708305358887,30.64814567565918,-57.47324752807617
38,661770404,124.25225830078125,55.88487243652344,-106.97914123535156,-8.79722881317139,2.97572660446167,-1.78414833545685,-23.16870880126953,31.39461326599121,-56.99667358398438
39,661778737,124.24473571777344,56.53042221069336,-106.55205535888672,-8.57643604278564,2.74928760528564,-1.08577227592468,-24.33280563354492,31.28311347961426,-55.69774246215820
40,661787070,124.73554229736328,56.72613906860352,-105.69275665283203,-8.33780479431152,2.89623737335205,-0.93790388107300,-28.10198402404785,33.75930786132812,-54.01391220092773
41,661795403,124.72372436523438,57.32159042358398,-105.24929046630859,-8.56374168395996,2.91071271896362,-0.90652531385422,-29.89269828796387,30.72038841247559,-50.82477951049805
42,661803736,125.10744476318359,57.51420211791992,-104.51630401611328,-8.30706787109375,2.99589133262634,-1.74430012702942,-28.94146919250488,25.92477798461914,-48.58726501464844
43,661812069,125.01356506347656,58.07724761962891,-104.23899841308594,-8.12849521636963,3.44862413406372,-1.59217894077301,-25.82156753540039,19.42605018615723,-41.85824584960938
44,661820402,125.27885437011719,58.25064849853516,-103.67834472656250,-7.27572202682495,3.52503991127014,-1.47840738296509,-26.18997192382812,17.36158370971680,-39.95373153686523
45,661828735,125.12480163574219,58.73056411743164,-103.48661804199219,-6.80646991729736,4.11142873764038,-1.33555006980896,-26.26646804809570,16.11546707153320,-33.00543212890625
46,661837068,125.19155120849609,58.84964752197266,-103.20305633544922,-6.69257831573486,3.87559795379639,-1.00934994220734,-21.95769691467285,6.51420593261719,-24.34092330932617
47,661845401,124.86053466796875,59.24929046630859,-103.33049011230469,-6.16027927398682,3.59883689880371,-0.85994476079941,-15.43962955474854,1.92274653911591,-17.82354736328125
48,661853734,124.84642028808594,59.30970764160156,-103.24237823486328,-6.34387636184692,3.38350009918213,-0.74429309368134,-11.63959693908691,0.62820214033127,-11.53355503082275
49,661862067,124.43513488769531,59.62608337402344,-103.48504638671875,-6.51428174972534,3.08757615089417,-0.80459088087082,-13.54573249816895,-0.66807055473328,-9.00358486175537
50,661870400,124.39267730712891,59.66340255737305,-103.38412475585938,-6.10439014434814,2.87124943733215,-1.08019435405731,-16.39490699768066,2.86312150955200,-9.64312076568604
