sep=,
DeviceTag:,Foot_01,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.9.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
StartTime:,2023-02-19 14:17:33.000 -0500,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 4127116052, -5.0164690017700195, -85.64945220947266, -161.54090881347656, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 4127132719, -5.175776958465576, -85.64356231689453, -161.40023803710938, 9.946621894836426, -0.03423256054520607, 0.8856667876243591, -0.734123945236206, 0.5112614631652832, -0.5832012295722961, 
2, 4127149386, -4.758857727050781, -85.54447174072266, -161.8585662841797, 9.852461814880371, -0.09094147384166718, 0.8125171065330505, -1.0012515783309937, -0.1560581773519516, -0.32867497205734253, 
3, 4127166053, -4.723244667053223, -85.47848510742188, -161.897216796875, 9.86174201965332, -0.03175691142678261, 0.7259576320648193, -1.3117928504943848, -0.37093591690063477, -0.3372039794921875, 
4, 4127182720, -4.542177677154541, -85.4746322631836, -162.07113647460938, 9.905752182006836, -0.029191460460424423, 0.7485088109970093, -1.2075618505477905, -0.585608720779419, -0.3536345064640045, 
5, 4127199387, -4.263375759124756, -85.4884262084961, -162.34054565429688, 9.915061950683594, -0.06726209074258804, 0.7939328551292419, -1.2647807598114014, -0.5993883609771729, -0.6069313287734985, 
6, 4127216054, -4.081603527069092, -85.49376678466797, -162.52471923828125, 9.929736137390137, -0.07905739545822144, 0.8797685503959656, -1.6714720726013184, -0.33735769987106323, -0.6249370574951172, 
7, 4127232721, -3.9997003078460693, -85.48126220703125, -162.63278198242188, 9.898794174194336, -0.11259806156158447, 0.8384467363357544, -1.669154167175293, -0.24330785870552063, -0.4494388997554779, 
8, 4127249388, -4.03543758392334, -85.47174072265625, -162.6186981201172, 9.897051811218262, -0.06581418961286545, 0.7868878841400146, -1.766507863998413, -0.5303493142127991, -0.3662872016429901, 
9, 4127266055, -4.011073589324951, -85.4703140258789, -162.64479064941406, 9.880797386169434, -0.09578082710504532, 0.7292506694793701, -1.355692982673645, -0.6607947945594788, -0.5778225660324097, 
10, 4127282722, -4.033149242401123, -85.4796142578125, -162.63999938964844, 9.861723899841309, -0.0752333551645279, 0.7060403823852539, -2.0309078693389893, -0.8188381195068359, -0.5512493848800659, 
11, 4127299389, -4.125672340393066, -85.49758911132812, -162.57369995117188, 9.809664726257324, -0.04040578380227089, 0.6112916469573975, -3.029085874557495, -0.9638442993164062, -0.2886295020580292, 
12, 4127316056, -4.213923454284668, -85.52342224121094, -162.52273559570312, 9.876766204833984, -0.08275207877159119, 0.6989458203315735, -2.509519577026367, -0.9103906154632568, -0.1458515226840973, 
13, 4127332723, -4.325489521026611, -85.56663513183594, -162.4136199951172, 9.854352951049805, -0.15560951828956604, 0.753914475440979, -1.856882095336914, -1.8909598588943481, -0.08411210030317307, 
14, 4127349390, -4.439067840576172, -85.60662078857422, -162.31121826171875, 9.841041564941406, -0.16735410690307617, 0.7347502112388611, -0.9283578395843506, -1.8428593873977661, -0.19495105743408203, 
15, 4127366057, -4.511218070983887, -85.64616394042969, -162.24346923828125, 9.867834091186523, -0.12472689896821976, 0.6660763621330261, 0.04846562445163727, -1.873658537864685, -0.46536993980407715, 
16, 4127382724, -4.530861854553223, -85.6855697631836, -162.20962524414062, 9.90406608581543, -0.09436771273612976, 0.7681952714920044, 0.4637243449687958, -1.7921075820922852, -0.6826680898666382, 
17, 4127399391, -4.538736343383789, -85.72113037109375, -162.19729614257812, 9.880785942077637, -0.12584234774112701, 0.7975520491600037, 0.2849476635456085, -1.711222767829895, -0.6756117343902588, 
18, 4127416058, -4.5883564949035645, -85.75504302978516, -162.15277099609375, 9.873641967773438, -0.07258999347686768, 0.7590286135673523, 0.108258455991745, -1.7849870920181274, -0.49693751335144043, 
19, 4127432725, -4.66500997543335, -85.79066467285156, -162.07818603515625, 9.854718208312988, -0.06828796863555908, 0.7100924253463745, -0.1878819316625595, -1.9711915254592896, -0.3322990834712982, 
20, 4127449392, -4.735687255859375, -85.82740020751953, -162.01638793945312, 9.85688591003418, -0.06552954763174057, 0.6908997893333435, -0.41887012124061584, -2.05517578125, -0.31983858346939087, 
21, 4127466059, -4.791585445404053, -85.86029052734375, -161.9602813720703, 9.907574653625488, -0.02718670852482319, 0.703042209148407, -0.2618386149406433, -1.805029273033142, -0.2980421781539917, 
22, 4127482726, -4.780311584472656, -85.88772583007812, -161.9703369140625, 9.95663833618164, -0.0443028025329113, 0.7174825668334961, 0.5282810926437378, -1.4869964122772217, -0.41945919394493103, 
23, 4127499393, -4.802511692047119, -85.91524505615234, -161.9281768798828, 9.917609214782715, -0.15027211606502533, 0.6609896421432495, 1.0354764461517334, -1.5123655796051025, -0.1848980337381363, 
24, 4127516060, -4.80504846572876, -85.94324493408203, -161.90618896484375, 9.939896583557129, -0.017867665737867355, 0.7286067605018616, 0.8522690534591675, -1.516271948814392, -0.3359874188899994, 
25, 4127532727, -4.753218650817871, -85.9594955444336, -161.9477996826172, 9.880924224853516, -0.09724012762308121, 0.7229956984519958, 0.6597638726234436, -0.8417229056358337, -0.45219215750694275, 
26, 4127549394, -4.809380054473877, -85.97532653808594, -161.89886474609375, 9.859977722167969, -0.1684897094964981, 0.6607093214988708, -0.08631479740142822, -0.8802828192710876, -0.051494333893060684, 
27, 4127566061, -4.924947261810303, -85.98960876464844, -161.79115295410156, 9.937292098999023, -0.10556253045797348, 0.7500056624412537, 0.02408233843743801, -0.793007493019104, 0.1623140573501587, 
28, 4127582728, -5.020524024963379, -85.99748229980469, -161.68360900878906, 9.880624771118164, -0.09521264582872391, 0.7426925301551819, 0.45697537064552307, -0.4569690227508545, 0.13798201084136963, 
29, 4127599395, -5.140999794006348, -86.00384521484375, -161.5568084716797, 9.907999038696289, -0.09070369601249695, 0.7183278203010559, 0.28844383358955383, -0.4083816707134247, 0.24528641998767853, 
30, 4127616062, -5.284727096557617, -86.01233673095703, -161.41383361816406, 9.926275253295898, -0.07476441562175751, 0.7097950577735901, -0.30859458446502686, -0.5661046504974365, 0.29620444774627686, 
31, 4127632729, -5.472031116485596, -86.02616119384766, -161.23361206054688, 9.908157348632812, -0.09938595443964005, 0.6937942504882812, -0.40496236085891724, -0.9052168130874634, 0.4562581777572632, 
32, 4127649396, -5.71337890625, -86.04290008544922, -160.9977264404297, 9.88201904296875, -0.11558155715465546, 0.7191318869590759, -0.5038401484489441, -1.1092348098754883, 0.6543980836868286, 
33, 4127666063, -5.950360298156738, -86.05682373046875, -160.7717742919922, 9.901334762573242, -0.09468498080968857, 0.7104299664497375, -0.5967631340026855, -0.9519472718238831, 0.638031542301178, 
34, 4127682730, -6.182001113891602, -86.06731414794922, -160.5464324951172, 9.903399467468262, -0.09793470799922943, 0.7120798826217651, -0.4215850234031677, -0.7599543929100037, 0.6526435613632202, 
35, 4127699397, -6.396134853363037, -86.07953643798828, -160.3408203125, 9.918133735656738, -0.10956136882305145, 0.7015048265457153, -0.5898476839065552, -0.8729832172393799, 0.5595670342445374, 
36, 4127716064, -6.596199989318848, -86.09390258789062, -160.14987182617188, 9.887824058532715, -0.11099524050951004, 0.6699239015579224, -0.6072514653205872, -0.9948996901512146, 0.48548227548599243, 
37, 4127732731, -6.791638374328613, -86.11274719238281, -159.97633361816406, 9.875411033630371, -0.1263989955186844, 0.6839091777801514, -1.0359697341918945, -1.2598631381988525, 0.4029582142829895, 
38, 4127749398, -6.991809368133545, -86.13143157958984, -159.79934692382812, 9.905228614807129, -0.10864250361919403, 0.7160574793815613, -1.2376185655593872, -1.2609004974365234, 0.3998335003852844, 
